date,cash_price,3_month,midwest_price,
2024-01-02,1.0598,1.0791,1.2478,
2024-01-03,1.0231,1.0442,1.2111,
2024-01-04,1.014,1.0374,1.202,
2024-01-05,1.0049,1.0265,1.1929,
2024-01-06,,,,
2024-01-07,,,,
2024-01-08,1.0004,1.0219,1.1884,
2024-01-09,0.9979,1.0192,1.1859,
2024-01-10,0.9997,1.0183,1.1877,
2024-01-11,0.9993,1.0183,1.1873,
2024-01-12,0.9866,1.0086,1.1751,
2024-01-13,,,,
2024-01-14,,,,
2024-01-15,0.9766,1.0002,1.1651,
2024-01-16,0.9791,1.0011,1.1676,
2024-01-17,0.9716,0.9931,1.1601,
2024-01-18,0.9664,0.987,1.1549,
2024-01-19,0.9625,0.9818,1.51,
2024-01-20,,,,
2024-01-21,,,,
2024-01-22,0.9571,0.977,1.1456,
2024-01-23,0.973,0.9913,1.162,
2024-01-24,1.0013,1.0179,1.1918,
2024-01-25,0.9927,1.0115,1.1832,
2024-01-26,1.0033,1.1939,1.1939,
2024-01-27,,,,
2024-01-28,,,,
2024-01-29,1.0043,1.021,1.1948,
2024-01-30,1.0099,1.0274,1.1999,
2024-01-31,1.0124,1.0299,1.2024,
2024-02-01,1.0036,1.021,1.1936,
2024-02-02,1.0022,1.0188,1.1922,
2024-02-03,,,,
2024-02-04,,,,
2024-02-05,0.9904,1.0067,1.1804,
2024-02-06,0.9909,1.0074,1.1809,
2024-02-07,0.9959,1.0115,1.1834,
2024-02-08,1.0045,1.0151,1.1895,
2024-02-09,0.9891,1.0038,1.1721,
2024-02-10,,,,
2024-02-11,,,,
2024-02-12,0.9925,1.0052,1.174,
2024-02-13,0.9997,1.0133,1.1792,
2024-02-14,0.9952,1.0083,1.1747,
2024-02-15,1.0002,1.0097,1.1772,
2024-02-16,0.9993,1.0124,1.1738,
2024-02-17,,,,
2024-02-18,,,,
2024-02-19,0.9911,0.9995,1.1656,
2024-02-20,0.9741,0.9904,1.1486,
2024-02-21,1.0031,1.0224,1.1776,
2024-02-22,0.9882,1.0086,1.1626,
2024-02-23,0.9784,0.9965,1.1529,
2024-02-24,,,,
2024-02-25,,,,
2024-02-26,0.9709,0.9913,1.1454,
2024-02-27,0.9734,0.9972,1.1479,
2024-02-28,0.9662,0.9893,1.1407,
2024-02-29,0.9811,1.0011,1.1556,
2024-03-01,0.9904,1.0079,1.1649,
2024-03-02,,,,
2024-03-03,,,,
2024-03-04,0.99,1.0097,1.1645,
2024-03-05,0.994,1.0133,1.1686,
2024-03-06,0.9922,1.012,1.1667,
2024-03-07,1.0024,1.0231,1.1769,
2024-03-08,1.002,1.0238,1.1765,
2024-03-09,,,,
2024-03-10,,,,
2024-03-11,0.9988,1.0174,1.1733,
2024-03-12,1.004,1.0265,1.1785,
2024-03-13,1.0088,1.0297,1.1833,
2024-03-14,1.0002,1.0229,1.1747,
2024-03-15,1.0063,1.0303,1.1818,
2024-03-16,,,,
2024-03-17,,,,
2024-03-18,1.009,1.0308,1.185,
2024-03-19,0.999,1.0229,1.176,
2024-03-20,1.0122,1.0356,1.1922,
2024-03-21,1.0269,1.0487,1.2109,
2024-03-22,1.019,1.041,1.208,
2024-03-23,,,,
2024-03-24,,,,
2024-03-25,1.0285,1.0519,1.219,
2024-03-26,1.0322,1.0544,1.2231,
2024-03-27,1.0151,1.0374,1.2071,
2024-03-28,1.0297,1.0483,1.2222,
2024-03-29,,,,
2024-03-30,,,,
2024-03-31,,,,
2024-04-01,,,,
2024-04-02,1.0535,1.0718,1.247,
2024-04-03,1.0587,1.0796,1.2522,
2024-04-04,1.0861,1.1068,1.2791,
2024-04-05,1.0845,1.1036,1.2775,
2024-04-06,,,,
2024-04-07,,,,
2024-04-08,1.0963,1.1167,1.2893,
2024-04-09,1.09,1.1133,1.2835,
2024-04-10,1.1018,1.1272,1.2953,
2024-04-11,1.0934,1.1158,1.2869,
2024-04-12,1.1081,1.1322,1.3021,
2024-04-13,,,,
2024-04-14,,,,
2024-04-15,1.1433,1.1558,1.3377,
2024-04-16,1.1394,1.1499,1.3329,
2024-04-17,1.1707,1.1635,1.3617,
2024-04-18,1.1793,1.1757,1.3673,
2024-04-19,1.2,1.2043,1.3875,
2024-04-20,,,,
2024-04-21,,,,
2024-04-22,1.2038,1.2068,1.3858,
2024-04-23,1.1725,1.1728,1.3545,
2024-04-24,1.1728,1.1787,1.3548,
2024-04-25,1.1732,1.1839,1.3552,
2024-04-26,1.161,1.1734,1.3435,
2024-04-27,,,,
2024-04-28,,,,
2024-04-29,1.1505,1.1648,1.333,
2024-04-30,1.1544,1.1687,1.3374,
2024-05-01,1.1587,1.1657,1.3487,
2024-05-02,1.1385,1.1582,1.3335,
2024-05-03,1.1417,1.1546,1.3367,
2024-05-04,,,,
2024-05-05,,,,
2024-05-06,,,,
2024-05-07,1.1397,1.1605,1.3352,
2024-05-08,1.1285,1.1476,1.324,
2024-05-09,1.1313,1.1526,1.3268,
2024-05-10,1.1408,1.1585,1.3363,
2024-05-11,,,,
2024-05-12,,,,
2024-05-13,1.1385,1.1567,1.335,
2024-05-14,1.1238,1.1512,1.3203,
2024-05-15,1.1474,1.1689,1.3464,
2024-05-16,1.1514,1.1768,1.3509,
2024-05-17,1.1539,1.1784,1.3534,
2024-05-18,,,,
2024-05-19,,,,
2024-05-20,1.1648,1.1895,1.3643,
2024-05-21,1.1998,1.2265,1.3992,
2024-05-22,1.1907,1.2125,1.3902,
2024-05-23,1.1571,1.1805,1.3571,
2024-05-24,1.1789,1.202,1.3789,
2024-05-25,,,,
2024-05-26,,,,
2024-05-27,,,,
2024-05-28,1.2034,1.2265,1.4029,
2024-05-29,1.2224,1.2433,1.4214,
2024-05-30,1.2091,1.2295,1.4075,
2024-05-31,1.2143,1.2304,1.4128,
2024-06-01,,,,
2024-06-02,,,,
2024-06-03,1.1907,1.2111,1.3892,
2024-06-04,1.1807,1.1988,1.3792,
2024-06-05,1.1689,1.1902,1.3684,
2024-06-06,1.1734,1.1993,1.3729,
2024-06-07,1.1696,1.1925,1.3691,
2024-06-08,,,,
2024-06-09,,,,
2024-06-10,1.141,1.168,1.341,
2024-06-11,1.1226,1.1494,1.3226,
2024-06-12,1.1231,1.1476,1.3231,
2024-06-13,1.1331,1.1601,1.333,
2024-06-14,1.1183,1.1476,1.3182,
2024-06-15,,,,
2024-06-16,,,,
2024-06-17,1.0979,1.1281,1.2978,
2024-06-18,1.1011,1.1263,1.301,
2024-06-19,1.1163,1.1381,1.3162,
2024-06-20,1.1163,1.1381,1.3162,
2024-06-21,1.1124,1.1358,1.3123,
2024-06-22,,,,
2024-06-23,,,,
2024-06-24,1.1133,1.1367,1.3132,
2024-06-25,1.112,1.1335,1.3119,
2024-06-26,1.1086,1.1313,1.3085,
2024-06-27,1.1152,1.1351,1.3151,
2024-06-28,1.1274,1.1458,1.3219,
2024-06-29,,,,
2024-06-30,,,,
2024-07-01,1.1324,1.1487,1.3244,
2024-07-02,1.1292,1.148,1.3162,
2024-07-03,1.1281,1.1505,1.3156,
2024-07-04,1.131,1.1526,1.3185,
2024-07-05,1.1319,1.1544,1.3194,
2024-07-06,,,,
2024-07-07,,,,
2024-07-08,1.1229,1.1485,1.3104,
2024-07-09,1.1197,1.1455,1.3072,
2024-07-10,1.1031,1.1292,1.2906,
2024-07-11,1.1016,1.1297,1.2896,
2024-07-12,1.0986,1.1267,1.2866,
2024-07-13,,,,
2024-07-14,,,,
2024-07-15,1.0904,1.1195,1.2784,
2024-07-16,1.0782,1.1052,1.2662,
2024-07-17,1.0718,1.097,1.2598,
2024-07-18,1.0591,1.0873,1.2471,
2024-07-19,1.0487,1.0741,1.2367,
2024-07-20,,,,
2024-07-21,,,,
2024-07-22,1.0247,1.0507,1.2127,
2024-07-23,1.0269,1.0505,1.2149,
2024-07-24,1.0278,1.0492,1.2158,
2024-07-25,1.0063,1.0324,1.1943,
2024-07-26,1.0111,1.0383,1.1991,
2024-07-27,,,,
2024-07-28,,,,
2024-07-29,0.9995,1.0267,1.1875,
2024-07-30,0.9804,1.0092,1.1684,
2024-07-31,1.0215,1.0419,1.21,
2024-08-01,1.0108,1.0374,1.1993,
2024-08-02,1.0045,1.0308,1.1955,
2024-08-03,,,,
2024-08-04,,,,
2024-08-05,0.9829,1.0099,1.1754,
2024-08-06,1.0002,1.0287,1.1925,
2024-08-07,0.999,1.0265,1.1913,
2024-08-08,0.9999,1.0251,1.1923,
2024-08-09,1.0265,1.0517,1.2188,
2024-08-10,,,,
2024-08-11,,,,
2024-08-12,1.0287,1.0528,1.2192,
2024-08-13,1.0235,1.0473,1.2125,
2024-08-14,1.0428,1.0655,1.2318,
2024-08-15,1.0437,1.0659,1.2327,
2024-08-16,1.0403,1.0625,1.2268,
2024-08-17,,,,
2024-08-18,,,,
2024-08-19,1.0748,1.0936,1.2593,
2024-08-20,1.1045,1.1188,1.289,
2024-08-21,1.1081,1.1238,1.2926,
2024-08-22,1.1208,1.1306,1.3053,
2024-08-23,1.1335,1.1381,1.3155,
2024-08-24,,,,
2024-08-25,,,,
2024-08-26,,,,
2024-08-27,1.1431,1.1508,1.325,
2024-08-28,1.1247,1.1349,1.3072,
2024-08-29,1.1056,1.1186,1.2876,
2024-08-30,1.1174,1.1276,1.2997,
2024-08-31,,,,
2024-09-01,,,,
2024-09-02,1.0843,1.0957,1.2666,
2024-09-03,1.0805,1.0909,1.26,
2024-09-04,1.0739,1.0832,1.2534,
2024-09-05,1.0732,1.0805,1.2532,
2024-09-06,1.0741,1.0834,1.2536,
2024-09-07,,,,
2024-09-08,,,,
2024-09-09,1.0514,1.0585,1.2309,
2024-09-10,1.0537,1.0632,1.2332,
2024-09-11,1.068,1.0727,1.2475,
2024-09-12,1.0843,1.0932,1.2643,
2024-09-13,1.0909,1.0984,1.2709,
2024-09-14,,,,
2024-09-15,,,,
2024-09-16,1.1363,1.1424,1.3162,
2024-09-17,1.1365,1.1435,1.317,
2024-09-18,1.1431,1.1467,1.3278,
2024-09-19,1.1444,1.1512,1.334,
2024-09-20,1.1235,1.136,1.3136,
2024-09-21,,,,
2024-09-22,,,,
2024-09-23,1.1136,1.1213,1.3036,
2024-09-24,1.153,1.1607,1.346,
2024-09-25,1.1394,1.1467,1.3324,
2024-09-26,1.1612,1.1685,1.3542,
2024-09-27,1.1837,1.1902,1.3766,
2024-09-28,,,,
2024-09-29,,,,
2024-09-30,1.1843,1.1875,1.3768,
2024-10-01,1.1952,1.1932,1.3872,
2024-10-02,1.1952,1.1952,1.3842,
2024-10-03,1.1966,1.1991,1.3826,
2024-10-04,1.2038,1.2091,1.3868,
2024-10-05,,,,
2024-10-06,,,,
2024-10-07,1.2045,1.2045,1.3875,
2024-10-08,1.1653,1.1728,1.3483,
2024-10-09,1.1476,1.1526,1.3301,
2024-10-10,1.1569,1.1603,1.3364,
2024-10-11,1.1998,1.2036,1.3792,
2024-10-12,,,,
2024-10-13,,,,
2024-10-14,1.1639,1.1802,1.3434,
2024-10-15,1.144,1.1605,1.324,
2024-10-16,1.1601,1.1757,1.3431,
2024-10-17,1.1451,1.163,1.3281,
2024-10-18,1.158,1.1739,1.346,
2024-10-19,,,,
2024-10-20,,,,
2024-10-21,1.1714,1.1873,1.3669,
2024-10-22,1.1834,1.1941,1.3839,
2024-10-23,1.1907,1.2007,1.3937,
2024-10-24,1.1988,1.2143,1.4019,
2024-10-25,1.1796,1.1932,1.3826,
2024-10-26,,,,
2024-10-27,,,,
2024-10-28,1.1839,1.2007,1.3894,
2024-10-29,1.1873,1.2034,1.3928,
2024-10-30,1.1898,1.2038,1.3978,
2024-10-31,1.1873,1.1993,1.3963,
2024-11-01,1.1855,1.1986,1.397,
2024-11-02,,,,
2024-11-03,,,,
2024-11-04,1.1707,1.1834,1.3847,
2024-11-05,1.1818,1.1975,1.3978,
2024-11-06,1.1564,1.1744,1.3724,
2024-11-07,1.2032,1.2165,1.4192,
2024-11-08,1.1796,1.1957,1.3976,
2024-11-09,,,,
2024-11-10,,,,
2024-11-11,1.1589,1.1784,1.3794,
2024-11-12,1.1476,1.1635,1.3676,
2024-11-13,1.1403,1.1564,1.3603,
2024-11-14,1.1358,1.1458,1.3558,
2024-11-15,1.1979,1.212,1.4179,
2024-11-16,,,,
2024-11-17,,,,
2024-11-18,1.1626,1.1739,1.3826,
2024-11-19,1.1719,1.183,1.3869,
2024-11-20,1.2041,1.2122,1.4141,
2024-11-21,1.1753,1.1909,1.3853,
2024-11-22,1.1744,1.1861,1.3818,
2024-11-23,,,,
2024-11-24,,,,
2024-11-25,1.1866,1.1991,1.3916,
2024-11-26,1.175,1.1889,1.3855,
2024-11-27,1.1689,1.1823,1.3804,
2024-11-28,1.163,1.1712,1.3745,
2024-11-29,1.1666,1.173,1.3781,
2024-11-30,,,,
2024-12-01,,,,
2024-12-02,1.1632,1.1734,1.3747,
2024-12-03,1.1689,1.18,1.3804,
2024-12-04,1.1716,1.1861,1.3831,
2024-12-05,1.1886,1.1993,1.4031,
2024-12-06,1.1589,1.1759,1.3734,
2024-12-07,,,,
2024-12-08,,,,
2024-12-09,1.1594,1.1778,1.3784,
2024-12-10,1.158,1.1734,1.3775,
2024-12-11,1.1594,1.1771,1.3834,
2024-12-12,1.1589,1.1814,1.3854,
2024-12-13,1.1646,1.1823,1.3911,
2024-12-14,,,,
2024-12-15,,,,
2024-12-16,1.1535,1.1721,1.38,
2024-12-17,1.1326,1.1492,1.3591,
2024-12-18,1.1265,1.1462,1.3555,
2024-12-19,1.1204,1.1394,1.3494,
2024-12-20,1.1263,1.1453,1.3598,
2024-12-21,,,,
2024-12-22,,,,
2024-12-23,1.1358,1.1535,1.3693,
2024-12-24,1.1528,1.166,1.3863,
2024-12-25,,,,
2024-12-26,,,,
2024-12-27,1.1399,1.1544,1.3734,
2024-12-28,,,,
2024-12-29,,,,
2024-12-30,1.1474,1.1571,1.3809,
2024-12-31,1.1415,1.1524,1.375,
2025-01-01,,,,
2025-01-02,1.1503,1.1617,1.3838,
2025-01-03,1.1226,1.1363,1.3606,
2025-01-04,,,,
2025-01-05,,,,
2025-01-06,1.1249,1.139,1.3654,
2025-01-07,1.1267,1.1399,1.3672,
2025-01-08,1.1222,1.1347,1.3617,
2025-01-09,1.1351,1.149,1.3731,
2025-01-10,1.1614,1.1689,1.3994,
2025-01-11,,,,
2025-01-12,,,,
2025-01-13,1.1671,1.1739,1.4051,
2025-01-14,1.1587,1.1669,1.3967,
2025-01-15,1.1621,1.1698,1.4001,
2025-01-16,1.192,1.1964,1.4305,
2025-01-17,1.2059,1.2093,1.4444,
2025-01-18,,,,
2025-01-19,,,,
2025-01-20,1.2134,1.2168,1.4519,
2025-01-21,1.1954,1.2022,1.4339,
2025-01-22,1.1843,1.1916,1.4238,
2025-01-23,1.1818,1.1866,1.4213,
2025-01-24,1.1975,1.1995,1.4375,
2025-01-25,,,,
2025-01-26,,,,
2025-01-27,1.1868,1.1891,1.4273,
2025-01-28,1.1666,1.1707,1.4091,
2025-01-29,1.175,1.178,1.4205,
2025-01-30,1.1871,1.1889,1.4366,
2025-01-31,1.1784,1.1784,1.4309,
2025-02-01,,,,
2025-02-02,,,,
2025-02-03,1.1721,1.1703,1.4546,
2025-02-04,1.1948,1.1893,1.4768,
2025-02-05,1.1839,1.1825,1.4659,
2025-02-06,1.1966,1.1929,1.4786,
2025-02-07,1.1973,1.195,1.4788,
2025-02-08,,,,
2025-02-09,,,,
2025-02-10,1.1975,1.1957,1.4875,
2025-02-11,1.2007,1.1977,1.5587,
2025-02-12,1.1923,1.1877,1.5633,
2025-02-13,1.1916,1.185,1.5801,
2025-02-14,1.2075,1.1998,1.5945,
2025-02-15,,,,
2025-02-16,,,,
2025-02-17,1.2066,1.1916,1.5936,
2025-02-18,1.207,1.197,1.5925,
2025-02-19,1.229,1.2213,1.6145,
2025-02-20,1.2338,1.2315,1.6193,
2025-02-21,1.2256,1.222,1.6341,
2025-02-22,,,,
2025-02-23,,,,
2025-02-24,1.2125,1.2079,1.621,
2025-02-25,1.2106,1.1986,1.6251,
2025-02-26,1.2113,1.2022,1.6258,
2025-02-27,1.2043,1.1988,1.6193,
2025-02-28,1.1964,1.1877,1.6139,
2025-03-01,,,,
2025-03-02,,,,
2025-03-03,1.1902,1.1857,1.6077,
2025-03-04,1.1948,1.1882,1.6123,
2025-03-05,1.2034,1.1984,1.6154,
2025-03-06,1.2288,1.2238,1.6408,
2025-03-07,1.2215,1.2168,1.6335,
2025-03-08,,,,
2025-03-09,,,,
2025-03-10,1.232,1.2229,1.634,
2025-03-11,1.236,1.2272,1.6455,
2025-03-12,1.2415,1.2342,1.6435,
2025-03-13,1.222,1.2138,1.6165,
2025-03-14,1.2306,1.2197,1.6176,
2025-03-15,,,,
2025-03-16,,,,
2025-03-17,1.2315,1.222,1.611,
2025-03-18,1.2161,1.2111,1.5906,
2025-03-19,1.2188,1.2143,1.5933,
2025-03-20,1.2181,1.2115,1.5901,
2025-03-21,1.2029,1.1957,1.5734,
2025-03-22,,,,
2025-03-23,,,,
2025-03-24,1.1977,1.1923,1.5682,
2025-03-25,1.183,1.1859,1.556,
2025-03-26,1.1793,1.1871,1.5548,
2025-03-27,1.1598,1.1682,1.5378,
2025-03-28,1.1607,1.1623,1.5412,
2025-03-29,,,,
2025-03-30,,,,
2025-03-31,1.1424,1.1526,1.5254,
2025-04-01,1.1335,1.1408,1.516,
2025-04-02,1.1249,1.134,1.5134,
2025-04-03,1.1052,1.1177,1.4937,
2025-04-04,1.0684,1.0859,1.4499,
2025-04-05,,,,
2025-04-06,,,,
2025-04-07,1.0659,1.0796,1.4474,
2025-04-08,1.0732,1.0909,1.4492,
2025-04-09,1.0365,1.0555,1.422,
2025-04-10,1.063,1.0832,1.451,
2025-04-11,1.0723,1.0909,1.4633,
2025-04-12,,,,
2025-04-13,,,,
2025-04-14,1.0684,1.0882,1.4624,
2025-04-15,1.0585,1.0773,1.455,
2025-04-16,1.058,1.075,1.4545,
2025-04-17,1.0557,1.0737,1.4522,
2025-04-18,,,,
2025-04-19,,,,
2025-04-20,,,,
2025-04-21,,,,
2025-04-22,1.0684,1.0848,1.4619,
2025-04-23,1.0814,1.0986,1.4724,
2025-04-24,1.0932,1.1077,1.4827,
2025-04-25,1.0941,1.1086,1.4811,
2025-04-26,,,,
2025-04-27,,,,
2025-04-28,1.0886,1.1031,1.4731,
2025-04-29,1.1022,1.1177,1.4852,
2025-04-30,1.0909,1.1031,1.4739,
2025-05-01,1.0784,1.0909,1.4614,
2025-05-02,1.0893,1.0995,1.4718,
2025-05-03,,,,
2025-05-04,,,,
2025-05-05,,,,
2025-05-06,1.0904,1.0995,1.4704,
2025-05-07,1.0721,1.0845,1.4551,
2025-05-08,1.0721,1.0836,1.4496,
2025-05-09,1.0891,1.0945,1.4661,
2025-05-10,,,,
2025-05-11,,,,
2025-05-12,1.1197,1.1249,1.4942,
2025-05-13,1.1204,1.1213,1.4919,
2025-05-14,1.1476,1.1458,1.5186,
2025-05-15,1.1251,1.126,1.4961,
2025-05-16,1.122,1.1199,1.491,
2025-05-17,,,,
2025-05-18,,,,
2025-05-19,1.1115,1.1124,1.4805,
2025-05-20,1.1152,1.1158,1.4857,
2025-05-21,1.1161,1.1199,1.4866,
2025-05-22,1.1093,1.1154,1.4898,
2025-05-23,1.1054,1.1104,1.4874,
2025-05-24,,,,
2025-05-25,,,,
2025-05-26,,,,
2025-05-27,1.1206,1.1213,1.5026,
2025-05-28,1.1245,1.1249,1.51,
2025-05-29,1.1195,1.1195,1.504,
2025-05-30,1.109,1.1104,1.494,
2025-05-31,,,,
2025-06-01,,,,
2025-06-02,1.1118,1.1122,1.5523,
2025-06-03,1.1095,1.1108,1.6495,
2025-06-04,1.1217,1.1231,1.7072,
2025-06-05,1.1215,1.1249,1.7815,
2025-06-06,1.1029,1.1072,1.7829,
2025-06-07,,,,
2025-06-08,,,,
2025-06-09,1.1197,1.1213,1.7897,
2025-06-10,1.1258,1.1233,1.7578,
2025-06-11,1.1392,1.1385,1.7437,
2025-06-12,1.1385,1.1392,1.713,
2025-06-13,1.1272,1.1281,1.7017,
2025-06-14,,,,
2025-06-15,,,,
2025-06-16,1.1378,1.1372,1.6883,
2025-06-17,1.1476,1.1476,1.6596,
2025-06-18,1.1546,1.1539,1.6726,
2025-06-19,1.1455,1.1462,1.6636,
2025-06-20,1.1471,1.1474,1.6801,
2025-06-21,,,,
2025-06-22,,,,
2025-06-23,1.1789,1.1723,1.7194,
2025-06-24,1.1669,1.1653,1.7169,
2025-06-25,1.1592,1.1623,1.7147,
2025-06-26,1.1673,1.168,1.7328,
2025-06-27,1.1716,1.1705,1.8096,
2025-06-28,,,,
2025-06-29,,,,
2025-06-30,1.1762,1.1755,1.8257,
2025-07-01,1.1812,1.1818,1.8307,
2025-07-02,1.1802,1.1784,1.8297,
2025-07-03,1.1812,1.1834,1.8212,
2025-07-04,1.1734,1.1753,1.8134,
2025-07-05,,,,
2025-07-06,,,,
2025-07-07,1.1639,1.1632,1.8234,
2025-07-08,1.1734,1.1728,1.8329,
2025-07-09,1.1703,1.1703,1.8348,
2025-07-10,1.1834,1.1843,1.8579,
2025-07-11,1.1755,1.1762,1.85,
2025-07-12,,,,
2025-07-13,,,,
2025-07-14,1.173,1.1725,1.8475,
2025-07-15,1.1766,1.1775,1.8511,
2025-07-16,1.1648,1.1644,1.8393,
2025-07-17,1.1598,1.1617,1.8343,
2025-07-18,1.1755,1.1775,1.858,
2025-07-19,,,,
2025-07-20,,,,
2025-07-21,1.2016,1.2002,1.8916,
2025-07-22,1.1968,1.1975,1.8868,
2025-07-23,1.1998,1.2007,1.8922,
2025-07-24,1.2004,1.2013,1.9004,
2025-07-25,1.2052,1.2047,1.9052,
2025-07-28,1.1941,1.193,1.9041,
2025-07-29,1.1834,1.1830,1.8934,
2025-07-30,1.1843,1.1861,1.8968,
2025-07-31,1.1703,1.1710,1.8828,
2025-08-01,1.1544,1.1553,1.8744,
2025-08-04,1.1680,1.1553,1.8744,
2025-08-05,1.1648,1.1657,1.8880,
2025-08-06,1.1746,1.1755,1.8946,
2025-08-07,1.1871,1.1880,1.9070,
2025-08-08,1.1834,1.1841,1.8929,
2025-08-11,1.1732,1.1755,1.8777,
2025-08-12,1.1816,1.1841,1.8861,
2025-08-13,1.1911,1.1929,1.8931,
2025-08-14,1.1832,1.1832,1.8827,
2025-08-15,1.1793,1.1802,1.8988,
2025-08-18,1.1732,1.1716,1.8932,
2025-08-19,1.1669,1.1675,1.8869,
2025-08-20,1.1660,1.1664,1.8814,
2025-08-21,1.1680,1.1664,1.8780,
2025-08-22,1.1744,1.1737,1.8838,
2025-08-26,1.1846,1.1868,1.8975,
2025-08-27,1.1875,1.1868,1.8975,
2025-08-28,1.1861,1.1839,1.8961,
2025-08-29,1.1889,1.1864,1.8989,
2025-09-01,1.1850,1.1839,1.8950,
2025-09-02,1.1861,1.1848,1.8961,
2025-09-03,1.1871,1.1859,1.8970,
2025-09-04,1.1821,1.1802,1.9216,
2025-09-05,1.1866,1.1852,1.9261,
2025-09-08,1.1855,1.1852,1.9250,
2025-09-09,1.1889,1.1871,1.9454,
2025-09-10,1.1900,1.1893,1.9460,
2025-09-11,1.2047,1.2020,1.9582,
2025-09-12,1.2279,1.2227,1.9784,
2025-09-15,1.2218,1.2224,1.9722,
2025-09-16,1.2413,1.2326,1.9918,
2025-09-17,1.2206,1.2172,1.9631,
2025-09-18,1.2215,1.2179,1.9610,
2025-09-19,1.2199,1.2174,1.9644,
2025-09-22,1.2097,1.2084,1.9442,
2025-09-23,1.2002,1.1975,1.9347,
2025-09-24,1.1898,1.1907,1.9398,
2025-09-25,1.2072,1.2091,1.9517,
2025-09-26,1.1986,1.2011,1.9431,
2025-09-29,1.2120,1.2136,1.9565,
2025-09-30,1.2104,1.2147,1.9549,
2025-10-01,1.2172,1.2195,1.9772,
2025-10-02,1.2247,1.2270,1.9897,
2025-10-03,1.2261,1.2270,2.0011,
2025-10-06,1.2306,1.2320,2.0111,
2025-10-07,1.2308,1.2329,1.9903,
2025-10-08,1.2476,1.2487,2.0176,
2025-10-09,1.2639,1.2614,2.0414,
2025-10-10,1.2698,1.2642,2.0443,
2025-10-13,1.2583,1.2485,2.0458,
2025-10-14,1.2401,1.2392,2.0381,
2025-10-15,1.2485,1.2467,2.0485,
2025-10-16,1.2587,1.2499,2.0742,
2025-10-17,1.2653,1.2592,2.0963,
2025-10-20,1.2578,1.2546,2.1018,
2025-10-21,1.2614,1.2623,2.1014,
2025-10-22,1.2782,1.2757,2.1182,
2025-10-23,1.2905,1.2891,2.1305,
2025-10-24,1.2941,1.2936,2.1491,
2025-10-27,1.3059,1.3050,2.1609,
2025-10-28,1.2968,1.2977,2.1518,
2025-10-29,1.3116,1.3118,2.1821,
2025-10-30,1.2819,1.2909,2.1523,
2025-10-31,1.3086,1.3073,2.1936,
2025-11-03,1.3168,1.3186,2.2018,
2025-11-04,1.2941,1.2980,2.1791,
2025-11-05,1.2875,1.2912,2.1725,
2025-11-06,1.2980,1.3027,2.1825,
2025-11-07,1.2887,1.2934,2.1732,
2025-11-10,1.3007,1.3077,2.1777,
2025-11-11,1.2887,1.3000,2.1582,
2025-11-12,1.2955,1.3104,2.1575,
2025-11-13,1.3045,1.3154,2.1690,
2025-11-14,1.2848,1.2959,2.1493,
2025-11-17,1.2692,1.2855,2.1342,
2025-11-18,1.2472,1.2642,2.1196,
2025-11-19,1.2614,1.2728,2.1339,
2025-11-20,1.2603,1.2750,2.1328,
2025-11-21,1.2544,1.2664,2.1269,
2025-11-24,1.2594,1.2737,2.1319,
2025-11-25,1.2642,1.2769,2.1422,
2025-11-26,1.2803,1.2921,2.1608,
2025-11-27,1.2719,1.2828,2.1523,
2025-11-28,1.2819,1.2936,2.1623,
2025-12-01,1.2973,1.3082,2.1778,
2025-12-02,1.2966,1.3100,2.1771,
2025-12-03,1.2946,1.3077,2.1751,
2025-12-04,1.2946,1.3086,2.1751,
2025-12-05,1.2995,1.3122,2.1800,
2025-12-08,1.3007,1.3141,2.1812,
2025-12-09,1.2846,1.3009,2.1651,
2025-12-10,1.2866,1.3005,2.1671,
2025-12-11,1.2991,1.3091,2.1796,
2025-12-12,1.2907,1.3045,2.1712,
2025-12-15,1.2887,1.3066,2.1917,
2025-12-16,1.2853,1.3068,2.1883,
2025-12-17,1.2934,1.3129,2.1964,
2025-12-18,1.2939,1.3145,2.1969,
2025-12-19,1.3136,1.3358,2.2166,
2025-12-22,1.3147,1.3345,2.2177,
2025-12-23,1.3227,1.3406,2.2332,
2025-12-24,1.3299,1.3422,2.2404,
2025-12-29,1.3215,1.3417,2.2320,
2025-12-30,1.3358,1.3506,2.2463,
2025-12-31,1.3463,1.3562,2.2568,
2026-01-02,1.3544,1.3655,2.2829,
2026-01-05,1.3710,1.3839,2.3065,
2026-01-06,1.4030,1.4116,2.3710,